"Plant_Simple";"Group";"Plot";"Subplot";"visits";"neigh.visits"
"PUPA";"Bees";9;"C3";0;0
"RAPE";"Bees";9;"C3";0;0
"CHFU";"Beetles";9;"C3";0;0
"CHMI";"Beetles";9;"C3";0;0
"HOMA";"Beetles";9;"C3";0;1
"LEMA";"Beetles";9;"C3";0;6
"ME";"Beetles";9;"C3";0;0
"PUPA";"Beetles";9;"C3";0;0
"RAPE";"Beetles";9;"C3";0;0
"CHFU";"Flies";9;"C3";1;1
"CHMI";"Flies";9;"C3";0;0
"HOMA";"Flies";9;"C3";0;1
"LEMA";"Flies";9;"C3";1;2
"ME";"Flies";9;"C3";0;0
"PUPA";"Flies";9;"C3";0;0
"RAPE";"Flies";9;"C3";0;0
"CHFU";"Butterflies";9;"C3";0;0
"CHMI";"Butterflies";9;"C3";0;0
"HOMA";"Butterflies";9;"C3";0;0
"LEMA";"Butterflies";9;"C3";0;0
"ME";"Butterflies";9;"C3";0;0
"PUPA";"Butterflies";9;"C3";0;0
"RAPE";"Butterflies";9;"C3";0;0
"CHFU";"Bees";1;"C3";0;0
"CHMI";"Bees";1;"C3";0;0
"HOMA";"Bees";1;"C3";0;0
"LEMA";"Bees";1;"C3";0;0
"ME";"Bees";1;"C3";0;0
"PUPA";"Bees";1;"C3";0;0
"RAPE";"Bees";1;"C3";0;0
"CHFU";"Beetles";1;"C3";0;0
"CHMI";"Beetles";1;"C3";0;0
"HOMA";"Beetles";1;"C3";0;2
"LEMA";"Beetles";1;"C3";0;15
"ME";"Beetles";1;"C3";0;0
"PUPA";"Beetles";1;"C3";0;0
"RAPE";"Beetles";1;"C3";0;0
"CHFU";"Flies";1;"C3";0;0
"CHMI";"Flies";1;"C3";0;0
"HOMA";"Flies";1;"C3";0;0
"LEMA";"Flies";1;"C3";1;1
"ME";"Flies";1;"C3";0;0
"PUPA";"Flies";1;"C3";0;0
"RAPE";"Flies";1;"C3";0;0
"CHFU";"Butterflies";1;"C3";0;0
"CHMI";"Butterflies";1;"C3";0;0
"HOMA";"Butterflies";1;"C3";0;0
"LEMA";"Butterflies";1;"C3";0;0
"ME";"Butterflies";1;"C3";0;0
"PUPA";"Butterflies";1;"C3";0;0
"RAPE";"Butterflies";1;"C3";0;0
