"Day";"Month";"plot";"subplot";"vis";"Plant";"individuals";"seed";"fruit";"flowers";"x_coor2";"y_coor2";"flowers2";"unique_id";"Bee";"Beetle";"Butterfly";"Fly";"<NA>";"distance";"n_neighbors";"n_neighbors_total";"distance_total";"n_neighbors_inter";"n_neighbors_intra"
5;3;7;"B2";2;"LEMA";28;58;6;2;235;289;2;"7_B2_LEMA_Bee";2;0;0;0;0;"a";6322;6322;"a";6322;1245
5;3;7;"B3";10;"LEMA";20;58;5;2;235;290,5;2;"7_B3_LEMA_Bee";10;0;0;0;0;"a";6322;6322;"a";6322;1245
5;3;7;"B4";3;"LEMA";42;73;7;0;235;292;0;"7_B4_LEMA_Bee";3;0;0;0;0;"a";6322;6322;"a";6322;1245
5;3;7;"B5";10;"LEMA";7;13;3;0;235;293,5;0;"7_B5_LEMA_Bee";10;0;0;0;0;"a";6322;6322;"a";6322;1245
5;3;7;"C2";2;"LEMA";28;50;5;1;236,5;289;1;"7_C2_LEMA_Bee";2;0;0;0;0;"a";6322;6322;"a";6322;1245
5;3;7;"D5";3;"LEMA";72;58;3;2;238;293,5;2;"7_D5_LEMA_Bee";3;0;0;0;0;"a";6322;6322;"a";6322;1245
5;3;8;"B2";1;"CHFU";12;79;5;35;274;270;35;"8_B2_CHFU_Fly";0;0;0;1;0;"a";7142;7142;"a";7142;558
5;3;8;"B5";1;"CHFU";8;16;1;8;274;274,5;8;"8_B5_CHFU_Fly";0;0;0;1;0;"a";7142;7142;"a";7142;558
5;3;8;"C2";3;"CHFU";18;38;6;18;275,5;270;18;"8_C2_CHFU_Fly";0;0;0;3;0;"a";7142;7142;"a";7142;558
5;3;8;"C3";2;"CHFU";4;7,5;4;3;275,5;271,5;3;"8_C3_CHFU_Fly";0;0;0;2;0;"a";7142;7142;"a";7142;558
5;3;8;"C4";1;"CHFU";3;13;1;0;275,5;273;0;"8_C4_CHFU_Beetle";0;1;0;0;0;"a";7142;7142;"a";7142;558
5;3;8;"C5";2;"CHFU";11;15;4;16;275,5;274,5;16;"8_C5_CHFU_Fly";0;0;0;2;0;"a";7142;7142;"a";7142;558
5;3;8;"D3";1;"CHFU";5;10;1;8;277;271,5;8;"8_D3_CHFU_Fly";0;0;0;1;0;"a";7142;7142;"a";7142;558
5;3;8;"D4";1;"CHFU";12;9;1;3;277;273;3;"8_D4_CHFU_Fly";0;0;0;1;0;"a";7142;7142;"a";7142;558
5;3;8;"D5";2;"LEMA";25;58;5;0;277;274,5;0;"8_D5_LEMA_Bee";2;0;0;0;0;"a";6812;6812;"a";6812;888
5;3;8;"D5";1;"CHFU";14;22,5;5;13;277;274,5;13;"8_D5_CHFU_Fly";0;0;0;1;0;"a";7142;7142;"a";7142;558
5;3;8;"E3";1;"CHFU";17;32;9;13;278,5;271,5;13;"8_E3_CHFU_Fly";0;0;0;1;0;"a";7142;7142;"a";7142;558
5;3;8;"E5";2;"LEMA";17;58;11;0;278,5;274,5;0;"8_E5_LEMA_Bee";2;0;0;0;0;"a";6812;6812;"a";6812;888
5;3;9;"B2";2;"CHFU";4;28;2;30;314;286;30;"9_B2_CHFU_Beetle";0;2;0;0;0;"a";2383;2383;"a";2383;397
5;3;9;"B2";1;"CHFU";4;28;2;30;314;286;30;"9_B2_CHFU_Fly";0;0;0;1;0;"a";2383;2383;"a";2383;397
5;3;9;"B3";1;"CHFU";1;32;1;21;314;287,5;21;"9_B3_CHFU_Beetle";0;1;0;0;0;"a";2383;2383;"a";2383;397
5;3;9;"C2";4;"CHFU";14;58;8;30;315,5;286;30;"9_C2_CHFU_Beetle";0;4;0;0;0;"a";2383;2383;"a";2383;397
5;3;9;"C3";3;"CHFU";17;31;2;36;315,5;287,5;36;"9_C3_CHFU_Beetle";0;3;0;0;0;"a";2383;2383;"a";2383;397
5;3;9;"C4";1;"CHFU";7;32;1;25;315,5;289;25;"9_C4_CHFU_Beetle";0;1;0;0;0;"a";2383;2383;"a";2383;397
5;3;9;"C5";2;"CHFU";5;40,5;3;26;315,5;290,5;26;"9_C5_CHFU_Beetle";0;2;0;0;0;"a";2383;2383;"a";2383;397
5;3;9;"D2";1;"CHFU";19;9,5;6;80;317;286;80;"9_D2_CHFU_Beetle";0;1;0;0;0;"a";2383;2383;"a";2383;397
5;3;9;"D2";1;"CHFU";19;9,5;6;80;317;286;80;"9_D2_CHFU_Fly";0;0;0;1;0;"a";2383;2383;"a";2383;397
5;3;9;"D3";2;"CHFU";35;79,5;10;100;317;287,5;100;"9_D3_CHFU_Fly";0;0;0;2;0;"a";2383;2383;"a";2383;397
5;3;9;"D5";1;"CHFU";10;25;2;11;317;290,5;11;"9_D5_CHFU_Fly";0;0;0;1;0;"a";2383;2383;"a";2383;397
5;3;9;"E2";1;"CHFU";4;16;1;50;318,5;286;50;"9_E2_CHFU_Beetle";0;1;0;0;0;"a";2383;2383;"a";2383;397
5;3;9;"E3";3;"CHFU";23;20;12;70;318,5;287,5;70;"9_E3_CHFU_Beetle";0;3;0;0;0;"a";2383;2383;"a";2383;397
5;3;9;"E4";3;"CHFU";17;56;8;80;318,5;289;80;"9_E4_CHFU_Beetle";0;3;0;0;0;"a";2383;2383;"a";2383;397
5;3;9;"E4";1;"CHFU";17;56;8;80;318,5;289;80;"9_E4_CHFU_Fly";0;0;0;1;0;"a";2383;2383;"a";2383;397
5;3;9;"E5";1;"CHFU";13;42;6;40;318,5;290,5;40;"9_E5_CHFU_Beetle";0;1;0;0;0;"a";2383;2383;"a";2383;397
5;5;2;"E2";1;"LEMA";61;110;14;NA;39,5;28;0;"2_E2_LEMA_Fly";0;0;0;1;0;"a";1545;1545;"a";1545;2831
5;5;2;"E3";1;"LEMA";46;155;6;NA;39,5;29,5;0;"2_E3_LEMA_Fly";0;0;0;1;0;"a";1545;1545;"a";1545;2831
5;5;5;"C5";1;"LEMA";6;13;4;NA;125,5;158,5;0;"5_C5_LEMA_Fly";0;0;0;1;0;"a";2657;2657;"a";2657;294
5;5;7;"C2";2;"BEMA";4;4;56;NA;236,5;289;0;"7_C2_BEMA_Fly";0;0;0;2;0;"a";7298;7298;"a";7298;269
5;5;7;"C4";1;"CETE";15;0;4;NA;236,5;292;0;"7_C4_CETE_Bee";1;0;0;0;0;"a";7147;7147;"a";7147;420
5;5;7;"C4";1;"LEMA";36;58;2;NA;236,5;292;0;"7_C4_LEMA_Bee";1;0;0;0;0;"a";6322;6322;"a";6322;1245
5;5;7;"C4";1;"LEMA";36;58;2;NA;236,5;292;0;"7_C4_LEMA_Fly";0;0;0;1;0;"a";6322;6322;"a";6322;1245
5;5;7;"D4";1;"LEMA";55;58;2;NA;238;292;0;"7_D4_LEMA_Fly";0;0;0;1;0;"a";6322;6322;"a";6322;1245
5;5;7;"E2";1;"LEMA";32;58;6;NA;239,5;289;0;"7_E2_LEMA_Fly";0;0;0;1;0;"a";6322;6322;"a";6322;1245
5;5;7;"E4";1;"LEMA";52;58;3;NA;239,5;292;0;"7_E4_LEMA_Fly";0;0;0;1;0;"a";6322;6322;"a";6322;1245
5;5;7;"E5";1;"LEMA";52;58;2;NA;239,5;293,5;0;"7_E5_LEMA_Bee";1;0;0;0;0;"a";6322;6322;"a";6322;1245
5;5;8;"D2";1;"LEMA";38;58;4;NA;277;270;0;"8_D2_LEMA_Fly";0;0;0;1;0;"a";6812;6812;"a";6812;888
5;5;9;"B3";2;"LEMA";6;58;15;NA;314;287,5;0;"9_B3_LEMA_Fly";0;0;0;2;0;"a";2551;2551;"a";2551;229
5;5;9;"C3";1;"SCLA";6;31;8;NA;315,5;287,5;0;"9_C3_SCLA_Beetle";0;1;0;0;0;"a";2413;2413;"a";2413;367
5;5;9;"D2";1;"LEMA";9;30;9;NA;317;286;0;"9_D2_LEMA_Fly";0;0;0;1;0;"a";2551;2551;"a";2551;229
5;5;9;"E2";3;"LEMA";1;58;2;NA;318,5;286;0;"9_E2_LEMA_Fly";0;0;0;3;0;"a";2551;2551;"a";2551;229
6;5;1;"D4";1;"LEMA";45;66,5;13;25;5;5;25;"1_D4_LEMA_Butterfly";0;0;1;0;0;"a";867;867;"a";867;1869
6;5;1;"E2";4;"LEMA";57;76,5;13;30;6,5;2;30;"1_E2_LEMA_Bee";4;0;0;0;0;"a";867;867;"a";867;1869
6;5;2;"C5";2;"LEMA";125;111;6;15;36,5;32,5;15;"2_C5_LEMA_Bee";2;0;0;0;0;"a";1545;1545;"a";1545;2831
