"Day";"Month";"plot";"subplot";"vis";"Plant";"individuals";"seed";"fruit";"flowers";"x_coor2";"y_coor2";"flowers2";"visits.flower";"seed.indv";"unique_id";"Bee";"Beetle";"Butterfly";"Fly";"<NA>";"distance";"n_neighbors";"n_neighbors_total";"distance_total";"n_neighbors_inter";"n_neighbors_intra"
6;5;8;"C4";2;"LEMA";42;58;1;NA;275,5;273;0;Inf;58;"8_C4_LEMA_Bee";2;0;0;0;0;"a";6812;6812;"a";6812;888
8;6;8;"B2";5;"PUPA";12;476;14;30;274;270;30;0,166666666666667;6664;"8_B2_PUPA_Fly";0;0;0;5;0;"a";6797;6797;"a";6797;903
8;6;8;"E5";1;"PUPA";61;0;14;50;278,5;274,5;50;0,02;0;"8_E5_PUPA_Fly";0;0;0;1;0;"a";6797;6797;"a";6797;903
9;6;2;"B3";2;"LEMA";65;438;6;0;35;29,5;0;Inf;2628;"2_B3_LEMA_Fly";0;0;0;2;0;"a";1545;1545;"a";1545;2831
10;3;1;"C5";1;"LEMA";80;1541;23;0;3,5;6,5;0;Inf;35443;"1_C5_LEMA_Fly";0;0;0;1;0;"a";867;867;"a";867;1869
10;3;2;"B5";2;"LEMA";80;189;3;NA;35;32,5;0;Inf;567;"2_B5_LEMA_Fly";0;0;0;2;0;"a";1545;1545;"a";1545;2831
10;3;2;"C3";3;"LEMA";50;422;4;0;36,5;29,5;0;Inf;1688;"2_C3_LEMA_Fly";0;0;0;3;0;"a";1545;1545;"a";1545;2831
10;3;2;"C4";3;"LEMA";114;400;10;NA;36,5;31;0;Inf;4000;"2_C4_LEMA_Fly";0;0;0;3;0;"a";1545;1545;"a";1545;2831
10;3;5;"B5";1;"LEMA";3;58;1;NA;124;158,5;0;Inf;58;"5_B5_LEMA_Fly";0;0;0;1;0;"a";2657;2657;"a";2657;294
10;3;8;"C4";1;"CHFU";3;13;1;NA;275,5;273;0;Inf;13;"8_C4_CHFU_Fly";0;0;0;1;0;"a";7142;7142;"a";7142;558
10;3;8;"D2";1;"CHFU";27;126;6;4;277;270;4;0,25;756;"8_D2_CHFU_Fly";0;0;0;1;0;"a";7142;7142;"a";7142;558
10;3;9;"D2";1;"CHFU";19;57;6;48;317;286;48;0,0208333333333333;342;"9_D2_CHFU_Bee";1;0;0;0;0;"a";2383;2383;"a";2383;397
10;3;9;"D3";3;"CHFU";35;795;10;70;317;287,5;70;0,0428571428571429;7950;"9_D3_CHFU_Bee";3;0;0;0;0;"a";2383;2383;"a";2383;397
10;3;9;"E2";3;"CHFU";4;16;1;31;318,5;286;31;0,0967741935483871;16;"9_E2_CHFU_Bee";3;0;0;0;0;"a";2383;2383;"a";2383;397
10;3;9;"E3";3;"CHFU";23;240;12;80;318,5;287,5;80;0,0375;2880;"9_E3_CHFU_Bee";3;0;0;0;0;"a";2383;2383;"a";2383;397
10;3;9;"E5";10;"CHFU";13;252;6;20;318,5;290,5;20;0,5;1512;"9_E5_CHFU_Bee";10;0;0;0;0;"a";2383;2383;"a";2383;397
13;2;2;"E2";1;"CHFU";1;336;12;1;39,5;28;1;1;4032;"2_E2_CHFU_Bee";1;0;0;0;0;"a";4334;4334;"a";4334;42
18;5;1;"E2";7;"LEMA";57;994,5;13;NA;6,5;2;0;Inf;12928,5;"1_E2_LEMA_Fly";0;0;0;7;0;"a";867;867;"a";867;1869
18;5;9;"D3";1;"LEMA";4;232;4;NA;317;287,5;0;Inf;928;"9_D3_LEMA_Butterfly";0;0;1;0;0;"a";2551;2551;"a";2551;229
18;6;3;"E2";1;"PUPA";6;820;20,5;20;84,5;56;20;0,05;16810;"3_E2_PUPA_Butterfly";0;0;1;0;0;"a";6684;6684;"a";6684;90
19;5;2;"C5";2;"PUPA";6;119;5,66666666666667;0;36,5;32,5;0;Inf;674,333333333333;"2_C5_PUPA_Bee";2;0;0;0;0;"a";4326;4326;"a";4326;50
19;5;7;"D4";2;"LEMA";55;116;2;NA;238;292;0;Inf;232;"7_D4_LEMA_Beetle";0;2;0;0;0;"a";6322;6322;"a";6322;1245
19;5;8;"B4";1;"PUPA";19;4;4;NA;274;273;0;Inf;16;"8_B4_PUPA_Bee";1;0;0;0;0;"a";6797;6797;"a";6797;903
19;5;8;"B5";1;"PUPA";8;462;7;NA;274;274,5;0;Inf;3234;"8_B5_PUPA_Bee";1;0;0;0;0;"a";6797;6797;"a";6797;903
19;5;8;"B5";1;"PUPA";8;462;7;NA;274;274,5;0;Inf;3234;"8_B5_PUPA_Beetle";0;1;0;0;0;"a";6797;6797;"a";6797;903
23;4;8;"E3";6;"BEMA";19;100;25;NA;278,5;271,5;NA;NA;2500;"8_E3_BEMA_Fly";0;0;0;6;0;"a";7389;7389;"a";7389;311
23;4;8;"E3";2;"LEMA";19;232;4;NA;278,5;271,5;NA;NA;928;"8_E3_LEMA_Fly";0;0;0;2;0;"a";6812;6812;"a";6812;888
23;4;8;"E4";1;"LEMA";26;174;3;NA;278,5;273;NA;NA;522;"8_E4_LEMA_Fly";0;0;0;1;0;"a";6812;6812;"a";6812;888
NA;NA;1;"B2";0;"BEMA";8;228;57;NA;2;2;NA;NA;12996;"1_B2_BEMA_NA";0;0;0;0;0,01;"a";2485;2485;"a";2485;251
NA;NA;1;"B2";0;"CETE";2;2997;27;NA;2;2;NA;NA;80919;"1_B2_CETE_NA";0;0;0;0;0,01;"a";2609;2609;"a";2609;127
NA;NA;1;"B2";0;"PUPA";1;115;5;NA;2;2;NA;NA;575;"1_B2_PUPA_NA";0;0;0;0;0,01;"a";2722;2722;"a";2722;14
NA;NA;1;"B2";0;"SOAS";2;1265;23;NA;2;2;NA;NA;29095;"1_B2_SOAS_NA";0;0;0;0;0,01;"a";2711;2711;"a";2711;25
NA;NA;1;"B3";0;"BEMA";5;372;93;NA;2;3,5;NA;NA;34596;"1_B3_BEMA_NA";0;0;0;0;0,01;"a";2485;2485;"a";2485;251
NA;NA;1;"B3";0;"CETE";4;4440;40;NA;2;3,5;NA;NA;177600;"1_B3_CETE_NA";0;0;0;0;0,01;"a";2609;2609;"a";2609;127
NA;NA;1;"B3";0;"CHFU";1;112;3,5;NA;2;3,5;NA;NA;392;"1_B3_CHFU_NA";0;0;0;0;0,01;"a";2704;2704;"a";2704;32
NA;NA;1;"B3";0;"SOAS";3;2145;39;NA;2;3,5;NA;NA;83655;"1_B3_SOAS_NA";0;0;0;0;0,01;"a";2711;2711;"a";2711;25
NA;NA;1;"B4";0;"CETE";1;2109;19;NA;2;5;NA;NA;40071;"1_B4_CETE_NA";0;0;0;0;0,01;"a";2609;2609;"a";2609;127
NA;NA;1;"B4";1;"LEMA";63;2470;38;NA;2;5;NA;NA;93860;"1_B4_LEMA_NA";0;0;0;0;1;"a";867;867;"a";867;1869
