"Day";"Month";"plot";"subplot";"Group";"vis";"Plant";"individuals";"seed";"fruit";"visits";"flowers";"x_coor2";"y_coor2";"neigh_inter.plot";"neigh_intra.plot";"neigh_intra.3m";"neigh_inter.3m";"neigh_inter.1m";"neigh_intra.1m";"neigh_inter.7.5";"neigh_intra.7.5";"flowers2";"visits.flower";"seed.indv";"unique_id"
5;3;8;"B5";"Fly";1;"CHFU";8;16;1;1;8;274;274,5;7142;558;133;1716;317;8;21;0;8;0,125;16;"8_B5_CHFU_Fly"
5;3;8;"C2";"Fly";5;"CHFU";18;228;6;5;18;275,5;270;7142;558;96;1548;243;18;5;3;18;0,277777777777778;1368;"8_C2_CHFU_Fly"
5;3;8;"C3";"Fly";2;"CHFU";4;30;4;2;3;275,5;271,5;7142;558;94;1539;124;4;8;2;3;0,666666666666667;120;"8_C3_CHFU_Fly"
5;3;8;"C4";"Beetle";1;"CHFU";3;13;1;1;0;275,5;273;7142;558;71;1633;231;3;9;0;0;Inf;13;"8_C4_CHFU_Beetle"
5;3;8;"C5";"Fly";2;"CHFU";11;60;4;2;16;275,5;274,5;7142;558;109;1582;218;11;4;2;16;0,125;240;"8_C5_CHFU_Fly"
5;3;8;"D3";"Fly";1;"CHFU";5;10;1;1;8;277;271,5;7142;558;99;1446;210;5;14;0;8;0,125;10;"8_D3_CHFU_Fly"
5;3;8;"D4";"Fly";1;"CHFU";12;9;1;1;3;277;273;7142;558;78;1679;114;12;11;0;3;0,333333333333333;9;"8_D4_CHFU_Fly"
5;3;8;"D5";"Fly";1;"CHFU";14;112,5;5;1;13;277;274,5;7142;558;114;1638;279;14;12;0;13;0,0769230769230769;562,5;"8_D5_CHFU_Fly"
5;3;8;"E3";"Fly";1;"CHFU";17;288;9;1;13;278,5;271,5;7142;558;114;1150;216;17;3;0;13;0,0769230769230769;2592;"8_E3_CHFU_Fly"
5;3;9;"B2";"Beetle";2;"CHFU";4;56;2;2;30;314;286;2383;397;70;429;52;4;5;0;30;0,0666666666666667;112;"9_B2_CHFU_Beetle"
